model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date
  Lenovo IdeaPad Flex 5 16IAU7 82R8005UIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.1 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4258,5138,4698.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164192,2022
  Lenovo IdeaPad Yoga 7 14IAL7 82QE008CIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.45 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2240x1400,IPS,60 Hz,כולל,כולל,מצלמת IR,לא כולל,4265,4967,4616.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1158339,2022
  Lenovo Yoga Slim 7 ProX 14IAH7 82TK008WIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.45 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,14.5 אינטש,3072x1920,IPS,120 Hz,כולל,כולל,מצלמת IR,לא כולל,7389,8000,7694.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170159,2022
  Lenovo ThinkPad L13 Gen 3 21B30018IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.26 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3990,4390,4190.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167127,2022
  Lenovo IdeaPad 3 17IAU7 82RL004KIV ,Lenovo,לא רלוונטי,ללא,"2.04 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,17.3 אינטש,1600x900,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1801,2099,1950.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171579,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R700A1IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4138,5740,4939.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164200,2022
  Lenovo IdeaPad Yoga 9 14IAP7 82LU002NIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,5783,7058,6420.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1147026,2022
  Lenovo ThinkBook 16p G2 ACH 20YM002VIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.99 ק""ג",32 GB,4.6Ghz,5900HX,דור 4,DDR4,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,6563,7444,7003.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1155119,2022
  Lenovo Yoga Slim 7 ProX 14IAH7 82TK008UIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.45 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,14.5 אינטש,3072x1920,IPS,120 Hz,כולל,כולל,מצלמת IR,לא כולל,7202,9190,8196.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170158,2022
  Lenovo ThinkPad E15 Gen 4 21E6006TIV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3073,3290,3181.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171942,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009LIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3227,3604,3415.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1172322,2022
  Lenovo IdeaPad 3 15IAU7 82RK00CCIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2103,2553,2328.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171905,2022
  Lenovo Legion 5 15IAH7 82RC0058IV ,Lenovo,גיימינג,Windows 11 Home,"2.35 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,כולל,לא כולל,לא כולל,5416,7391,6403.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165579,2022
  Lenovo ThinkPad P14s Gen 3 21AK000KIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.24 ק""ג",32 GB,3.4Ghz,1260P,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7539,8519,8029.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167023,2022
  Lenovo IdeaPad Gaming 3 15IAH7 82S900GQIV ,Lenovo,גיימינג,ללא,"2.31 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,5549,6201,5875.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1173874,2022
  Lenovo IdeaPad Yoga 9 14IAP7 82LU0022IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6574,6740,6657.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1146938,2022
  Lenovo ThinkPad X1 Titanium Yoga Gen 1 20QA001NIV ,Lenovo,לא רלוונטי,Windows 10 PRO,"1.18 ק""ג",16 GB,4Ghz,1130G7,דור 11,DDR4,512 GB,SSD,לא כולל,13.5 אינטש,2256x1504,IPS,60 Hz,כולל,1 מגה פיקסל,מצלמת IR,לא כולל,6350,9750,8050.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1111688,2021
  Lenovo ThinkPad E14 Gen 4 21E300CDIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.64 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,3999,4888,4443.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167314,2022
  Lenovo IdeaPad 3 15ITL6 82H800CSIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1330,1699,1514.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1110514,2021
  Lenovo IdeaPad 3 15IAU7 82RK00CSIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,לא זמין,60 Hz,ללא,כולל,לא זמין,לא כולל,1650,2026,1838.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1182955,מ 2023
  Lenovo ThinkBook 14 G4 IAP 21DH006TIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3175,3609,3392.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164175,2022
  Lenovo ThinkPad P16s Gen 1 21BT000GIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.67 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,1000 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7089,8168,7628.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163913,2022
  Lenovo Yoga Slim 7 Pro14ACH5OD 82NK0031IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.6Ghz,5900HS,דור 4,DDR4,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,1 מגה פיקסל,מצלמת IR,לא כולל,4700,5999,5349.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1146603,2022
  Lenovo ThinkPad L13 Gen 3 21B30011IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.26 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,13.3 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,4648,5120,4884.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163693,2022
  Lenovo Legion 5 Pro 16IAH7H 82RF007CIV ,Lenovo,גיימינג,Windows 11 Home,"2.49 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,165 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,6939,9255,8097.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170570,2022
  Lenovo IdeaPad Flex 5 16IAU7 82R8005KIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.1 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3319,4140,3729.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167679,2022
  Lenovo IdeaPad 1 15IGL7 82V7007JIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.54 ק""ג",4 GB,1.1Ghz,N4120,דור 4,DDR4,128 GB,eMMC,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1106,1383,1244.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1184619,מ 2023
  Lenovo ThinkPad P16s Gen 1 21BT000VIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.67 ק""ג",32 GB,3.4Ghz,1260P,דור 12,DDR4,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7714,8929,8321.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163697,2022
  Lenovo ThinkPad E15 Gen 4 21E60097IV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,4431,4890,4660.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165460,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009GIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3068,3940,3504.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167373,2022
  Lenovo IdeaPad Gaming 3 15IAH7 82S900GLIV ,Lenovo,גיימינג,ללא,"2.31 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,5248,5610,5429.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1184624,מ 2023
  Lenovo ThinkBook 13s G4 IAP 21AR004GIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.23 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4357,4534,4445.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1175982,2022
  Lenovo ThinkBook 14 G4 IAP 21DH006XIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,3580,3902,3741.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164197,2022
  Lenovo Yoga Slim 7 Carbon 13IAP7 82U9006WIV ,Lenovo,לא רלוונטי,Windows 11 Home,"0.98 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2560x1600,IPS,90 Hz,כולל,1 מגה פיקסל,מצלמת IR,לא כולל,5694,6595,6144.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1170155,2022
  Lenovo ThinkPad L15 Gen 3 21C3000MIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.76 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,5229,5448,5338.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161896,2022
  Lenovo V14 IIL 82C400UPIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",4 GB,1.2Ghz,1005G1,דור 10,לא זמין,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1044,1899,1471.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1181453,מ 2023
  Lenovo ThinkPad P1 Gen 5 21DC000DIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.81 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,512 GB,SSD,לא כולל,16 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,9349,10549,9949.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166380,2022
  Lenovo ThinkPad L14 Gen 3 21C1002LIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,5275,5830,5552.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161897,2022
  Lenovo ThinkPad T14 Gen 3 21AH00EGIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.32 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6480,7349,6914.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163177,2022
  Lenovo Yoga Slim 9 14IAP7 82T0004DIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.37 ק""ג",32 GB,3.6Ghz,1280P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7492,8081,7786.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171732,2022
  Lenovo ThinkPad T14 Gen 3 21AH00E1IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.32 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,מצלמת IR,לא כולל,6861,7290,7075.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163910,2022
  Lenovo Yoga 9 14IRP8 83B1003GIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,7939,8590,8264.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1183095,מ 2023
  Lenovo IdeaPad Yoga 7 14IAL7 82QE008NIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.45 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,כולל,כולל,מצלמת IR,לא כולל,4682,6433,5557.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1162861,2022
  Lenovo Legion 5 Pro 16IAH7H 82RF007GIV ,Lenovo,גיימינג,ללא,"2.49 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,165 Hz,ללא,כולל,לא כולל,לא כולל,5886,6212,6049.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1184625,מ 2023
  Lenovo IdeaPad Gaming 3 15IAH7 82S900FKIV ,Lenovo,גיימינג,ללא,"2.31 ק""ג",16 GB,3.3Ghz,12450H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,120 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,4147,4399,4273.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1184622,מ 2023
  Lenovo ThinkPad P14s Gen 3 21AK000HIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.24 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,6989,7500,7244.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167131,2022
  Lenovo IdeaPad 3 15IAU7 82RK00DKIV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3198,3499,3348.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171604,2022
  Lenovo Yoga 9 14IAP7 82LU002AIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,5931,7288,6609.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1147266,2022
  Lenovo Legion 5 15IAH7 82RC005PIV ,Lenovo,גיימינג,ללא,"2.35 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,כולל,לא כולל,לא כולל,5762,7240,6501.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165580,2022
  Lenovo Yoga Slim 7 Pro14ACH5OD 82NK0032IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.6Ghz,5900HS,דור 4,DDR4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,1 מגה פיקסל,מצלמת IR,לא כולל,4490,5998,5244.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1146601,2022
  Lenovo ThinkBook 14 G4 IAP 21DH006WIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.4 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4279,4727,4503.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164179,2022
  Lenovo Legion 5 Pro 16IAH7H 82RF007JIV ,Lenovo,גיימינג,ללא,"2.49 ק""ג",32 GB,3.8Ghz,12900H,דור 12,DDR5,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,165 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,8999,11498,10248.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1159267,2022
  Lenovo IdeaPad Gaming 3 15IAH7 82S900GNIV ,Lenovo,גיימינג,ללא,"2.31 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,5549,5905,5727.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1169788,2022
  Lenovo ThinkPad X1 Nano Gen 2 21E80020IV ,Lenovo,לא רלוונטי,Windows 11 Pro,"0.96 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,512 GB,SSD,לא כולל,13 אינטש,2160x1350,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,8753,9979,9366.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1163703,2022
  Lenovo Legion 5 15IAH7 82RC0055IV ,Lenovo,גיימינג,ללא,"2.35 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,כולל,לא כולל,לא כולל,4800,6592,5696.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165577,2022
  Lenovo Legion 5 15IAH7 82RC0053IV ,Lenovo,גיימינג,Windows 11 Home,"2.35 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR5,512 GB,SSD,לא כולל,15.6 אינטש,2560x1440,IPS,165 Hz,ללא,כולל,לא כולל,לא כולל,5204,7072,6138.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1165578,2022
  Lenovo ThinkPad X1 Carbon Gen 10 21CB006WIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.12 ק""ג",16 GB,4.4Ghz,1240P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,מצלמת IR,לא כולל,7457,7990,7723.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167803,2022
  Lenovo IdeaPad Flex 5 14IAU7 82R7009EIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,2870,3665,3267.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1164215,2022
  Lenovo ThinkPad L14 Gen 3 21C1002LIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,5273,5830,5551.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1161897,2022
  Lenovo Yoga 7 16IAH7 82UF004HIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.16 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR5,1000 GB,SSD,לא כולל,16 אינטש,2560x1600,IPS,60 Hz,כולל,כולל,מצלמת IR,לא כולל,6313,7890,7101.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1167500,2022
  Lenovo ThinkPad X13 Gen 3 21BN003LIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.29 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR5,256 GB,SSD,לא כולל,13.3 אינטש,1920x1200,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,5620,6189,5904.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1166987,2022
  Lenovo IdeaPad 1 15IJL7 82LX0021IV ,Lenovo,לא רלוונטי,ללא,"1.45 ק""ג",8 GB,1.1Ghz,N6000,דור 6,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1327,1599,1463.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1153367,2022
  Lenovo ThinkPad T14 Gen 3 21AH00EYIV ,Lenovo,לא רלוונטי,Windows 11 Pro,"1.32 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,לא זמין,LCD,60 Hz,ללא,כולל,מצלמת IR,לא כולל,7052,7709,7380.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1162867,2022
  Lenovo IdeaPad 3 17IAU7 82RL004HIV ,Lenovo,לא רלוונטי,ללא,"2.04 ק""ג",8 GB,4.4Ghz,8505,דור 8,DDR4,256 GB,SSD,לא כולל,17.3 אינטש,1600x900,LCD,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,1569,1833,1701.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1177632,2022
  Lenovo IdeaPad Yoga 9 14IAP7 82LU0023IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,3.4Ghz,1260P,דור 12,DDR5,512 GB,SSD,לא כולל,14 אינטש,3840x2400,OLED,60 Hz,כולל,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,6474,7000,6737.0,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1146707,2022
  Lenovo IdeaPad 3 15IAU7 82RK00D3IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2527,3240,2883.5,"(2023, 6, 8)",https://www.zap.co.il/model.aspx?modelid=1171598,2022
